CAGE No.,PARENT,SEX,ADULTS IN CAGE,LITTER DOB,LITTER #,WEAN DATE,DCM wean date,Br FEM DOB,Br FEM AGE,Br MALE DOB,Br MALE AGE,Pairing date,Notes
A 101#,1/5,M,5,,, , ,,,7/11/19,10.71,,
A 102#,1/5,F,5,,, , ,,,7/11/19,10.71,,
A 200#,3/10,Br,2F 1M,,, , ,3/20/19,26.86,5/20/19,18.14,6/28/19,
A 300#,10/11,Br,2F 1M,,, , ,,,4/19/19,22.57,6/12/19,dead pups
A 400#,1,Br,1F 1M,,, , ,,,5/25/19,17.43,7/19/19,
A 501#,5,M,3,,, , ,,,7/3/19,11.86,,
A 502#,5,F,1,,, , ,,,7/3/19,11.86,,
A 600#,10/11/3/5,Br,2F 1M,,, , ,4/19/19,22.57,1/28/19,34.14,8/2/19,
A 700#,10/11,Br,2F 1M,,, , ,5/7/19,20,4/19/19,22.57,6/28/19,
A 800#,10/11,Br,2F 1M,,, , ,5/7/19,20,4/19/19,22.57,6/28/19,
A 900#,10,Br,2F 1M,,, , ,,,5/20/19,18.14,7/10/19,
A 1000#,10,Br,1F 1M,,, , ,,,5/20/19,18.14,7/10/19,
BN 100,3/6,Br,2F 1M,,, , ,,,5/14/19,19,6/28/19,
BN 200,3/6,Br,2F 1M,8/6/19,3,8/27/19,8/29/19,,,5/14/19,19,,
BN 200,3/6,Br,2F 1M,8/8/19,7,8/29/19,8/31/19,,,5/14/19,19,,parents 9
BN 300,1/3/5,Br,2F 1M,,, , ,,,5/1/19,20.86,6/12/19,
BN 400,1/3/4/6,Br,2F 1M,,, , ,,,3/26/19,26,,
BN 500,1/3/5,Br,2F 1M,8/4/19,7,8/25/19,8/27/19,,,5/1/19,20.86,,
BN 600,3/6,Br,1F 1M,7/22/19,7,8/12/19,8/14/19,,,5/14/19,19,,parents 5/6
BN 700,1/3/4/6,Br,2F 1M,7/24/19,5,8/14/19,8/16/19,,,3/26/19,26,,
BN 702,7/9,F,4,,, , ,,,6/17/19,14.14,,
BN 703,7/9,F,3,,, , ,,,6/17/19,14.14,,
BN 800,1/3/4/6,Br,2F 1M,,, , ,,,3/26/19,26,,
BN 801,4/8/9,M,5,,, , ,,,6/25/19,13,,
BN 802,4/8/9,F,4,,, , ,,,6/25/19,13,,
BN 900,1/3/4/6,Br,2F 1M,7/22/19,5,8/12/19,8/14/19,,,3/26/19,26,,
BN 901,7/8/9,M,5,,, , ,,,7/17/19,9.86,,
BN 902,7/8/9,M,5,,, , ,,,7/17/19,9.86,,
BN 903,7/8/9,F,3,,, , ,,,7/17/19,9.86,,
BN 904,7/8/9,F,4,,, , ,,,7/17/19,9.86,,
BN 1000,1/3/4/6,Br,1F 1M,7/24/19,6,8/14/19,8/16/19,,,3/26/19,26,,
BN 1100,1/3/5,Br,2F 1M,7/21/19,7,8/11/19,8/13/19,,,5/1/19,20.86,,
C 100,5,Br,2F 1M,8/2/19,3,8/23/19,8/25/19,,,5/24/19,17.57,,
C 200,3/4/5/6,Br,2F 1M,,, , ,6/24/19,13.14,6/15/19,14.43,8/5/19,
C 300,3/4/6,Br,2F 1M,,, , ,,,6/15/19,14.43,8/5/19,
C 400,3/4/6,Br,2F 1M,,, , ,,,6/15/19,14.43,8/5/19,
C 600,1/3/8,Br,2F 1M,8/2/19,2,8/23/19,8/25/19,,,1/17/19,35.71,,breeding pair for Silvio
C 601,6,M,2,,, , ,,,7/10/19,10.86,,
C 602,6,F,1,,, , ,,,7/10/19,10.86,,
C 700,5,Br,2F 1M,8/5/19,5,8/26/19,8/28/19,,,5/24/19,17.57,,
D 100,3/4,Br,2F 1M,,, , ,,,4/24/19,21.86,,
D 200,3/4,Br,2F 1M,7/30/19,4,8/20/19,8/22/19,,,4/24/19,21.86,,
D 200,3/4,Br,2F 1M,8/8/19,7,8/29/19,8/31/19,,,4/24/19,21.86,,
D 800,3/4,Br,1F 1M,7/23/19,7,8/13/19,8/15/19,,,4/24/19,21.86,,
D 900,3/4,Br,2F 1M,8/2/19,9,8/23/19,8/25/19,,,4/24/19,21.86,,
D 1000,3/4,Br,2F 1M,7/29/19,2,8/19/19,8/21/19,,,4/24/19,21.86,,
D 1000,3/4,Br,2F 1M,7/31/19,7,8/21/19,8/23/19,,,4/24/19,21.86,,
D 1100,3/4,Br,2F 1M,,, , ,,,4/24/19,21.86,,
E 100,2/3,Br,2F 1M,,, , ,,,6/13/19,14.71,8/2/19,
E 200,2/3,Br,2F 1M,,, , ,,,6/13/19,14.71,8/2/19,
E 300,2/3,Br,2F 1M,,, , ,,,6/13/19,14.71,8/2/19,
E 400,2/3,Br,2F 1M,,, , ,,,6/13/19,14.71,8/2/19,
E 500,4/6,Br,2F 1M,,, , ,,,6/22/19,13.43,8/5/19,
E 600,4/6,Br,2F 1M,,, , ,,,6/22/19,13.43,8/5/19,
E 700,4/6,Br,2F 1M,,, , ,,,6/22/19,13.43,8/5/19,
E 800,4/6,Br,2F 1M,,, , ,,,6/22/19,13.43,8/5/19,
ELP 100#,4/13,Br,2F 1M,,, , ,,,5/27/19,17.14,7/19/19,
ELP 200#,4/13,Br,2F 1M,,, , ,,,5/27/19,17.14,7/19/19,
ELP 300#,4/13,Br,2F 1M,,, , ,,,5/27/19,17.14,7/19/19,
ELP 400#,4/13,Br,2F 1M,,, , ,,,5/27/19,17.14,7/19/19,
ELP 500#,4/13,Br,2F 1M,,, , ,,,5/27/19,17.14,7/19/19,
ELP 600#,12/14,Br,2F 1M,,, , ,,,6/18/19,14,8/2/19,
ELP 700#,12/14,Br,2F 1M,,, , ,,,6/18/19,14,8/2/19,
ELP 800#,12/14,Br,2F 1M,,, , ,,,6/18/19,14,8/2/19,
ELP 900#,12/14,Br,2F 1M,,, , ,,,6/18/19,14,8/2/19,
ELP 1000#,12/14,Br,2F 1M,,, , ,,,6/18/19,14,8/2/19,
IL 100,2/7/8/9,Br,2F 1M,,, , ,,,5/16/19,18.71,7/10/19,
IL 200,2/7/8/9,Br,2F 1M,,, , ,,,5/16/19,18.71,7/10/19,
IL 400,2/7/8/9,Br,2F 1M,8/1/19,4,8/22/19,8/24/19,,,5/16/19,18.71,,
IL 500,2/7/8/9,Br,2F 1M,8/2/19,8,8/23/19,8/25/19,,,5/16/19,18.71,,
IL 600,7/10/13,Br,2F 1M,,, , ,,,5/20/19,18.14,,
IL 700,7/10/13,Br,2F 1M,8/1/19,6,8/22/19,8/24/19,,,5/20/19,18.14,,
IL 800,7/10/13,Br,2F 1M,,, , ,,,5/20/19,18.14,7/10/19,
IL 900,7/10/13,Br,2F 1M,8/5/19,3,8/26/19,8/28/19,,,5/20/19,18.14,,
IL 1001,10/12,M,5,,, , ,,,7/3/19,11.86,,
IL 1002,10/12,F,4,,, , ,,,7/3/19,11.86,,
IL 1003,10/12,F,4,,, , ,,,7/3/19,11.86,,
IL 1100,7/10/13,Br,2F 1M,7/30/19,4,8/20/19,8/22/19,,,5/20/19,18.14,,
IL 1100,7/10/13,Br,2F 1M,8/4/19,1,8/25/19,8/27/19,,,5/20/19,18.14,,
IL 1200,5/6/7/10,Br,2F 1M,,, , ,,,3/9/19,28.43,,
IL 1300,5/6/7/10,Br,2F 1M,7/25/19,3,8/15/19,8/17/19,,,3/9/19,28.43,,
J 100#,3/4/7,Br,2F 1M,,, , ,,,5/28/19,17,7/19/19,
J 200#,3/4/7,Br,2F 1M,,, , ,,,5/28/19,17,7/19/19,
J 300#,3/4/7,Br,2F 1M,8/8/19,4,8/29/19,8/31/19,,,5/28/19,17,,
J 400#,1/3/4,Br,2F 1M,8/1/19,7,8/22/19,8/24/19,,,1/16/19,35.86,,parents 4/7
J 401#,3/4,M,5,,, , ,,,6/21/19,13.57,,
J 402#,3/4,F,4,,, , ,,,6/21/19,13.57,,
J 403#,4/7,M,5,,, , ,,,7/9/19,11,,
J 404#,4/7,F,4,,, , ,,,7/9/19,11,,
J 500#,3/4/7,Br,2F 1M,8/8/19,5,8/29/19,8/31/19,,,5/28/19,17,,
K 100,9/21/25,Br,2F 1M,7/21/19,10,8/11/19,8/13/19,,,4/10/19,23.86,,
K 200 ,4/5/8/9/13/14/15/18,Br,2F 1M,,, , ,,,4/22/19,22.14,,
K 201,2/3,M,5,,, , ,,,7/16/19,10,,
K 202,2/3,M,4,,, , ,,,7/16/19,10,,
K 203,2/3,F,5,,, , ,,,7/16/19,10,,
K 204,2/3,F,4,,, , ,,,7/16/19,10,,
K 300,2/6/7/10/16/20/23/24/25,Br,1F 1M,,, , ,2/20/19,30.86,2/5/19,33,,
K 301,3/4/6/10,M,4,,, , ,,,6/26/19,12.86,,
K 302,3/4/6/10,M,5,,, , ,,,6/26/19,12.86,,
K 303,3/4/6/10,F,4,,, , ,,,6/26/19,12.86,,
K 304,3/4/6/10,F,4,,, , ,,,6/26/19,12.86,,
K 305,3/4/6/10,F,5,,, , ,,,6/26/19,12.86,,
K 306,3/4/6/10,F,5,,, , ,,,6/26/19,12.86,,
K 401,4/7/16/17/26,M,5,,, , ,,,7/9/19,11,,
K 402,4/7/16/17/26,M,5,,, , ,,,7/9/19,11,,"jason would like 2m, 2f (if no one else needs)"
K 403,4/7/16/17/26,M,5,,, , ,,,7/9/19,11,,"jason would like 2m, 2f (if no one else needs)"
K 404,4/7/16/17/26,F,5,,, , ,,,7/9/19,11,,"jason would like 2m, 2f (if no one else needs)"
K 405,4/7/16/17/26,F,5,,, , ,,,7/9/19,11,,"jason would like 2m, 2f (if no one else needs)"
K 406,4/7/16/17/26,F,4,,, , ,,,7/9/19,11,,
K 407,4/7/16/17/26,F,4,,, , ,,,7/9/19,11,,
K 408,4/7/16/17/26,F,4,,, , ,,,7/9/19,11,,
K 500,9/21/25,Br,2F 1M,,, , ,,,4/10/19,23.86,,
K 600,1/3/4/9/14/16,Br,2F 1M,,, , ,6/5/19,15.86,5/29/19,16.86,7/26/19,
K 601,6/11/16,M,4,,, , ,,,7/3/19,11.86,,
K 602,6/11/16,M,3,,, , ,,,7/3/19,11.86,,
K 603,6/11/16,F,3,,, , ,,,7/3/19,11.86,,
K 604,6/11/16,F,3,,, , ,,,7/3/19,11.86,,
K 700,4/5/8/9/13/14/15/18,Br,2F 1M,,, , ,,,4/22/19,22.14,,
K 800,26,Br,2F 1M,7/31/19,9,8/21/19,8/23/19,,,5/22/19,17.86,,parents 8/19
K 801,8/10,M,5,,, , ,,,6/19/19,13.86,,
K 802,8/10,F,4,,, , ,,,6/19/19,13.86,,
K 803,8/10,F,4,,, , ,,,6/19/19,13.86,,
K 1000,1/3/4/9/14/16,Br,2F 1M,,, , ,6/5/19,15.86,5/29/19,16.86,7/26/19,
K 1100,5/6/8/11/13/14/20,Br,2F 1M,,, , ,,,6/5/19,15.86,7/26/19,
K 1200,9/21/25,Br,2F 1M,7/22/19,9,8/12/19,8/14/19,,,4/10/19,23.86,,parents 5/12
K 1300,26,Br,2F 1M,7/31/19,6,8/21/19,8/23/19,,,5/22/19,17.86,,parents 13/19
K 1400,5/6/8/11/13/14/20,Br,2F 1M,,, , ,,,6/5/19,15.86,7/26/19,
K 1500,4/6/12,Br,1F,7/22/19,9,8/12/19,8/14/19,,,12/20/18,39.71,,parents 5/15
K 1500,4/6/12,Br,1F,7/24/19,2,8/14/19,8/16/19,,,12/20/18,39.71,,parents 11
K 1500,4/6/12,Br,1F,7/31/19,8,8/21/19,8/23/19,,,12/20/18,39.71,,
K 1600,1/2/4/7/13/15/16,Br,1F 1M,,, , ,,,3/12/19,28,,
K 1600A,1/2/4/7/13/15/16,Br,1F,7/22/19,7,8/12/19,8/14/19,,,3/12/19,28,,
K 1700,1/2/4/7/13/15/16,Br,2F 1M,,, , ,,,3/12/19,28,,
K 1703,15/17,M,5,,, , ,,,6/14/19,14.57,,
K 1706,15/17,F,4,,, , ,,,6/14/19,14.57,,
K 1800,5/6/8/11/13/14/20,Br,2F 1M,,, , ,,,6/5/19,15.86,7/26/19,
K 1900,1/2/4/7/13/15/16,Br,2F 1M,8/1/19,8,8/22/19,8/24/19,,,3/12/19,28,,
K 2000,5/6/8/11/13/14/20,Br,2F 1M,,, , ,,,6/5/19,15.86,7/26/19,
K 2100,5/6/7/8/11/13/14/20,Br,2F 1M,,, , ,5/19/19,18.29,6/5/19,15.86,7/26/19,
K 2600,1/2/4/7/13/15/16,Br,2F 1M,7/28/19,9,8/18/19,8/20/19,,,3/12/19,28,,
L 100,4/5/6/7,Br,2F 1M,,, , ,,,3/25/19,26.14,,
L 101,1/8/9,M,4,,, , ,,,7/17/19,9.86,,
L 102,1/8/9,M,4,,, , ,,,7/17/19,9.86,,
L 103,1/8/9,F,5,,, , ,,,7/17/19,9.86,,
L 104,1/8/9,F,5,,, , ,,,7/17/19,9.86,,
L 200,4/5/6/7,Br,2F 1M,8/4/19,4,8/25/19,8/27/19,,,3/25/19,26.14,,
L 200,4/5/6/7,Br,2F 1M,8/8/19,6,8/29/19,8/31/19,,,3/25/19,26.14,,
L 201,1/2/3/4/8/9,M,5,,, , ,,,6/25/19,13,,hagan?
L 202,1/2/3/4/8/9,M,5,,, , ,,,6/25/19,13,,cards 2907812-15
L 203,1/2/3/4/8/9,F,5,,, , ,,,6/25/19,13,,
L 204,1/2/3/4/8/9,F,5,,, , ,,,6/25/19,13,,
L 300,4/5/6/7,Br,2F 1M,7/29/19,5,8/19/19,8/21/19,,,3/25/19,26.14,,
L 400,4/5/6/7,Br,2F 1M,8/2/19,4,8/23/19,8/25/19,,,3/25/19,26.14,,
L 800,4/5/6/7,Br,2F 1M,8/8/19,5,8/29/19,8/31/19,,,3/25/19,26.14,,does hagan need more mice?
L 900,4/5/6/7,Br,2F 1M,8/7/19,8,8/28/19,8/30/19,,,3/25/19,26.14,,
Ls 101,1/5,M,4,,, , ,,,7/10/19,10.86,,
Ls 102,1/5,F,5,,, , ,,,7/10/19,10.86,,
Ls 300,1/2/6,Br,2F 1M,,, , ,,,5/6/19,20.14,6/28/19,
Ls 400,1/2/6,Br,2F 1M,8/8/19,7,8/29/19,8/31/19,,,5/6/19,20.14,,
Ls 500,5/7,Br,2F 1M,7/24/19,4,8/14/19,8/16/19,,,2/11/19,32.14,,
Ls 500,5/7,Br,2F 1M,8/2/19,5,8/23/19,8/25/19,,,2/11/19,32.14,,
Ls 501,5,M,2,,, , ,,,6/16/19,14.29,,
Ls 503,2/6/8,F,4,,, , ,,,7/3/19,11.86,,
Ls 600,5/7,Br,2F 1M,7/22/19,2,8/12/19,8/14/19,,,2/11/19,32.14,,
Ls 600,5/7,Br,,7/27/19,2,8/17/19,8/19/19,,,2/11/19,32.14,,
Ls 700,8,Br,2F 1M,,, , ,,,6/13/19,14.71,8/2/19,
Ls 800,1/6,Br,2F 1M,7/31/19,4,8/21/19,8/23/19,,,3/12/19,28,,
Ls 900,5/8,Br,2F 1M,,, , ,6/13/19,,6/16/19,14.29,8/2/19,
Ls 1000,5,Br,2F 1M,,, , ,,,6/16/19,14.29,8/2/19,
M 101#,1/3/12/13/14,M,5,,, , ,,,7/9/19,11,,
M 102#,1/3/12/13/14,F,5,,, , ,,,7/9/19,11,,
M 103#,1/3/12/13/14,F,5,,, , ,,,7/9/19,11,,
M 200#,1/12/13/14,Br,2F 1M,,, , ,,,5/29/19,16.86,7/19/19,
M 400#,1/12/13/14,Br,2F 1M,8/8/19,3,8/29/19,8/31/19,,,5/29/19,16.86,,
M 500#,1/12/13/14,Br,2F 1M,,, , ,,,5/29/19,16.86,7/19/19,
M 600#,1/12/13/14,Br,2F 1M,,, , ,,,5/29/19,16.86,7/19/19,
M 700#,1/12/13/14,Br,2F 1M,8/8/19,8,8/29/19,8/31/19,,,5/29/19,16.86,,
M 1200#,1/7/8,Br,2F 1M,8/2/19,6,8/23/19,8/25/19,,,2/4/19,33.14,,
MD 300#,2/5/10,Br,2F 1M,7/29/19,5,8/19/19,8/21/19,,,4/23/19,22,,
MD 400#,2/5/10,Br,2F 1M,,, , ,,,4/23/19,22,,
MD 401#,3/4/5/6/7,M,3,,, , ,,,7/4/19,11.71,,cage card 2907832
MD 402#,3/4/5/6/7,M,5,,, , ,,,7/4/19,11.71,,cage card 2907833
MD 403#,3/4/5/6/7,M,4,,, , ,,,7/4/19,11.71,,cage card 2907834
